"WHO region","Year","Maternal mortality ratio (per 100 000 live births)","Number of maternal deaths"
"Eastern Mediterranean"," 2000","330 [286-392]","48 000 [41 000 - 57 000]"
"Western Pacific"," 2017","41 [36-49]","9 800 [8 600 - 12 000]"
"Western Pacific"," 2016","42 [37-49]","10 000 [8 900 - 12 000]"
"Western Pacific"," 2015","43 [38-50]","11 000 [9 400 - 12 000]"
"Western Pacific"," 2014","44 [40-51]","11 000 [9 800 - 13 000]"
"Western Pacific"," 2013","46 [41-52]","11 000 [10 000 - 13 000]"
"Western Pacific"," 2012","47 [43-53]","12 000 [11 000 - 13 000]"
"Western Pacific"," 2011","49 [45-54]","12 000 [11 000 - 13 000]"
"Western Pacific"," 2010","51 [47-56]","13 000 [12 000 - 14 000]"
"Western Pacific"," 2009","53 [49-58]","13 000 [12 000 - 14 000]"
"Western Pacific"," 2008","55 [52-60]","14 000 [13 000 - 15 000]"
"Western Pacific"," 2007","56 [53-61]","14 000 [13 000 - 15 000]"
"Western Pacific"," 2006","59 [55-64]","14 000 [13 000 - 15 000]"
"Western Pacific"," 2005","61 [57-66]","15 000 [14 000 - 16 000]"
"Western Pacific"," 2004","63 [59-68]","15 000 [14 000 - 16 000]"
"Western Pacific"," 2003","66 [62-71]","16 000 [15 000 - 17 000]"
"Western Pacific"," 2002","69 [65-75]","17 000 [16 000 - 18 000]"
"Western Pacific"," 2001","72 [68-78]","18 000 [17 000 - 19 000]"
"Western Pacific"," 2000","75 [71-82]","19 000 [17 000 - 20 000]"
